,,,0
PERMITMW,t12,PERMITMW,0.23353651814738988
PERMITMW,t24,PERMITMW,0.36628456983102187
PERMITS,t1,PERMITS,0.06651857475752664
PERMITS,t6,PERMITS,0.13966479056766826
PERMITS,t12,PERMITS,0.22334337691226122
PERMITS,t24,PERMITS,0.3775575906573966
PERMITW,t1,PERMITW,0.10480432002755277
PERMITW,t6,PERMITW,0.1903156490416434
PERMITW,t12,PERMITW,0.2784870083475359
PERMITW,t24,PERMITW,0.4527815965254983
ACOGNO,t1,ACOGNO,2.6880829951397787
ACOGNO,t6,ACOGNO,2.732276525720866
ACOGNO,t12,ACOGNO,2.7361836927506884
ACOGNO,t24,ACOGNO,2.705360508757711
AMDMNOx,t1,AMDMNOx,4.787074990826689
AMDMNOx,t6,AMDMNOx,4.758136389912627
AMDMNOx,t12,AMDMNOx,4.74549739407485
AMDMNOx,t24,AMDMNOx,4.809409530880037
ANDENOx,t1,ANDENOx,9.617339807876903
ANDENOx,t6,ANDENOx,10.182404697962692
ANDENOx,t12,ANDENOx,10.176316077258265
ANDENOx,t24,ANDENOx,10.307736855808693
AMDMUOx,t1,AMDMUOx,0.8738765069034731
AMDMUOx,t6,AMDMUOx,0.9280513565411316
AMDMUOx,t12,AMDMUOx,1.0881308601320174
AMDMUOx,t24,AMDMUOx,1.1326153525199896
BUSINVx,t1,BUSINVx,0.3948138292582532
BUSINVx,t6,BUSINVx,0.6219333658496157
BUSINVx,t12,BUSINVx,0.7076770512865931
BUSINVx,t24,BUSINVx,0.722115341539148
ISRATIOx,t1,ISRATIOx,0.02740075167621099
ISRATIOx,t6,ISRATIOx,0.027029605368719522
ISRATIOx,t12,ISRATIOx,0.026950141035218634
ISRATIOx,t24,ISRATIOx,0.02696647952008422
M1SL,t1,M1SL,8.21260115995568
M1SL,t6,M1SL,8.881298720454211
M1SL,t12,M1SL,8.898860196816539
M1SL,t24,M1SL,8.256553552193882
M2SL,t1,M2SL,0.5122569946790616
M2SL,t6,M2SL,0.7225958132142671
M2SL,t12,M2SL,0.7649028669608144
M2SL,t24,M2SL,0.8569175066130169
M2REAL,t1,M2REAL,0.6240136366710498
M2REAL,t6,M2REAL,0.8418596902868458
M2REAL,t12,M2REAL,0.8566804941538178
M2REAL,t24,M2REAL,0.8856400695708984
BOGMBASE,t1,BOGMBASE,3.1823153874331602
BOGMBASE,t6,BOGMBASE,3.7331276823654305
BOGMBASE,t12,BOGMBASE,3.80600182176396
BOGMBASE,t24,BOGMBASE,3.908992419166726
TOTRESNS,t1,TOTRESNS,11.218301035469295
TOTRESNS,t6,TOTRESNS,11.4939999997819
TOTRESNS,t12,TOTRESNS,11.439095401361223
TOTRESNS,t24,TOTRESNS,11.591117967759606
NONBORRES,t1,NONBORRES,133.25148369759327
NONBORRES,t6,NONBORRES,132.04281744596736
NONBORRES,t12,NONBORRES,307.16083946835863
NONBORRES,t24,NONBORRES,388.2190860279988
BUSLOANS,t1,BUSLOANS,1.1370976517005327
BUSLOANS,t6,BUSLOANS,1.6318717189524035
BUSLOANS,t12,BUSLOANS,1.5897201314383351
BUSLOANS,t24,BUSLOANS,1.577911493268845
REALLN,t1,REALLN,0.6385325920033318
REALLN,t6,REALLN,0.6404990792117495
REALLN,t12,REALLN,0.6587148329725155
REALLN,t24,REALLN,0.6636356958107795
NONREVSL,t1,NONREVSL,0.7737743980458217
NONREVSL,t6,NONREVSL,0.7827906220386979
NONREVSL,t12,NONREVSL,0.7667510682417238
NONREVSL,t24,NONREVSL,0.7499626637282673
CONSPI,t1,CONSPI,0.002928491464021185
CONSPI,t6,CONSPI,0.0031687191865433844
CONSPI,t12,CONSPI,0.0034272950880495437
CONSPI,t24,CONSPI,0.0031664147662671203
S&P 500,t1,S&P 500,3.7680836681830177
S&P 500,t6,S&P 500,3.8717749193173714
S&P 500,t12,S&P 500,3.8516497214975436
S&P 500,t24,S&P 500,3.868905771700792
S&P: indust,t1,S&P: indust,3.661931918525398
S&P: indust,t6,S&P: indust,3.7693267997502695
S&P: indust,t12,S&P: indust,3.7474304358445933
S&P: indust,t24,S&P: indust,3.7586494542470286
S&P div yield,t1,S&P div yield,0.08475251288770459
S&P div yield,t6,S&P div yield,0.08819243813752597
S&P div yield,t12,S&P div yield,0.08811593424422993
S&P div yield,t24,S&P div yield,0.0887138070481723
S&P PE ratio,t1,S&P PE ratio,5.005368079316638
S&P PE ratio,t6,S&P PE ratio,6.148361683758335
S&P PE ratio,t12,S&P PE ratio,6.195680327519563
S&P PE ratio,t24,S&P PE ratio,6.045722944257661
FEDFUNDS,t1,FEDFUNDS,0.13231491947052518
FEDFUNDS,t6,FEDFUNDS,0.16485210138712447
FEDFUNDS,t12,FEDFUNDS,0.17778057294885855
FEDFUNDS,t24,FEDFUNDS,0.17874997237708506
CP3Mx,t1,CP3Mx,0.19405110278370433
CP3Mx,t6,CP3Mx,0.20637850424687282
CP3Mx,t12,CP3Mx,0.20748525716055488
CP3Mx,t24,CP3Mx,0.2096441240829715
TB3MS,t1,TB3MS,0.16529632935485142
TB3MS,t6,TB3MS,0.181790922690581
TB3MS,t12,TB3MS,0.18875039992040823
TB3MS,t24,TB3MS,0.19044074122571417
TB6MS,t1,TB6MS,0.148114639495679
TB6MS,t6,TB6MS,0.17525224372109882
TB6MS,t12,TB6MS,0.17941798911643353
TB6MS,t24,TB6MS,0.1801935789516307
GS1,t1,GS1,0.15444425661011996
GS1,t6,GS1,0.18246996150191902
GS1,t12,GS1,0.18527023675587584
GS1,t24,GS1,0.1853067993009134
GS5,t1,GS5,0.2022731913528951
GS5,t6,GS5,0.2118698809712956
GS5,t12,GS5,0.21507276205873793
GS5,t24,GS5,0.21349774870810143
GS10,t1,GS10,0.19928763146251138
GS10,t6,GS10,0.2078427301103217
GS10,t12,GS10,0.21061422072421734
