,,,0
IPDCONGD,t12,TSPC,6.407849854890142
IPDCONGD,t12,TPC2,7.154360852413422
IPDCONGD,t12,PC2,9.861993751531008
IPDCONGD,t12,LAPC,5.787039659158888
IPDCONGD,t24,PC,5.516386905381639
IPDCONGD,t24,TPC,5.568620078955842
IPDCONGD,t24,TSPC,5.726701560933442
IPDCONGD,t24,TPC2,8.125668527835385
IPDCONGD,t24,PC2,12.60948865787141
IPDCONGD,t24,LAPC,5.56862899873109
IPNCONGD,t1,PC,1.0121806814715086
IPNCONGD,t1,TPC,0.9409755326265097
IPNCONGD,t1,TSPC,1.1088873403340311
IPNCONGD,t1,TPC2,1.1846864952371732
IPNCONGD,t1,PC2,2.8027344619877557
IPNCONGD,t1,LAPC,0.9249797647491755
IPNCONGD,t6,PC,0.939425121193376
IPNCONGD,t6,TPC,0.8913917230332018
IPNCONGD,t6,TSPC,1.08907863758526
IPNCONGD,t6,TPC2,1.033600134413055
IPNCONGD,t6,PC2,1.7371037588830056
IPNCONGD,t6,LAPC,0.8082278726568884
IPNCONGD,t12,PC,1.2273976207415698
IPNCONGD,t12,TPC,0.8425406081780918
IPNCONGD,t12,TSPC,1.164739279338594
IPNCONGD,t12,TPC2,1.2363958757747004
IPNCONGD,t12,PC2,1.848361084070316
IPNCONGD,t12,LAPC,0.9056127665450477
IPNCONGD,t24,PC,1.045996936165133
IPNCONGD,t24,TPC,0.9479321096695945
IPNCONGD,t24,TSPC,1.055784150309392
IPNCONGD,t24,TPC2,1.6007920368078485
IPNCONGD,t24,PC2,2.5461864036915833
IPNCONGD,t24,LAPC,0.8096366117892247
IPBUSEQ,t1,PC,3.0846850417643643
IPBUSEQ,t1,TPC,2.9549756603497865
IPBUSEQ,t1,TSPC,2.969459904855555
IPBUSEQ,t1,TPC2,4.329168872714812
IPBUSEQ,t1,PC2,2.8315125930160083
IPBUSEQ,t1,LAPC,2.870503602193589
IPBUSEQ,t6,PC,2.763227950008325
IPBUSEQ,t6,TPC,2.686280869495936
IPBUSEQ,t6,TSPC,2.9195304798020345
IPBUSEQ,t6,TPC2,4.95271174616987
IPBUSEQ,t6,PC2,3.3251945674470345
IPBUSEQ,t6,LAPC,2.635941066044864
IPBUSEQ,t12,PC,3.156619121668445
IPBUSEQ,t12,TPC,2.7877292633583615
IPBUSEQ,t12,TSPC,3.1570298024858006
IPBUSEQ,t12,TPC2,4.2740955377609104
IPBUSEQ,t12,PC2,5.736897754528919
IPBUSEQ,t12,LAPC,2.871530081665211
IPBUSEQ,t24,PC,2.9439628242115092
IPBUSEQ,t24,TPC,2.8252517104793364
IPBUSEQ,t24,TSPC,2.8577929059710865
IPBUSEQ,t24,TPC2,3.1775627318816624
IPBUSEQ,t24,PC2,4.298449354687619
IPBUSEQ,t24,LAPC,2.7081551447480967
IPMAT,t1,PC,1.7604673271448195
IPMAT,t1,TPC,1.4655796522913598
IPMAT,t1,TSPC,1.6818375791937292
IPMAT,t1,TPC2,2.6823609476975254
IPMAT,t1,PC2,2.1553582782117617
IPMAT,t1,LAPC,1.6157514138320612
IPMAT,t6,PC,1.696321051459204
IPMAT,t6,TPC,1.6399824677571229
IPMAT,t6,TSPC,1.787255065733843
IPMAT,t6,TPC2,1.9955898900442977
IPMAT,t6,PC2,2.56800931842088
IPMAT,t6,LAPC,1.5891199873289663
IPMAT,t12,PC,1.7237879037967632
IPMAT,t12,TPC,1.64522535018422
IPMAT,t12,TSPC,1.9440591986392528
IPMAT,t12,TPC2,1.8988857970190882
IPMAT,t12,PC2,2.918847282059051
IPMAT,t12,LAPC,1.693061973355177
