,,Symmetric,Asymmetric
Forecasting Horizon 6,IPNCONGD,0.002357057168148966,0.002873266355620889
Forecasting Horizon 6,IPBUSEQ,0.010230317956512611,0.009950458771055841
Forecasting Horizon 6,IPMAT,0.006837649425021036,0.006593324926816392
Forecasting Horizon 6,IPDMAT,0.011219946169143763,0.010439576633084993
Forecasting Horizon 6,IPNMAT,0.006621343363276186,0.006741302475586969
Forecasting Horizon 6,IPMANSICS,0.00708359254106986,0.00687732518262663
Forecasting Horizon 6,IPB51222S,0.011189369091805462,0.014253824604481682
Forecasting Horizon 6,IPFUELS,0.00985021263528627,0.010688598567546495
Forecasting Horizon 6,CUMFNS,0.49822517175498415,0.4817937473217919
Forecasting Horizon 6,HWI,135.45656404901987,143.79452204407596
Forecasting Horizon 6,HWIURATIO,0.036776746744400055,0.03687096207140366
Forecasting Horizon 6,CLF16OV,0.0012889378898094923,0.0014018655988810825
Forecasting Horizon 6,CE16OV,0.004059024491936307,0.0041313784658659185
Forecasting Horizon 6,UNRATE,0.27431295042694026,0.27286957753323615
Forecasting Horizon 6,UEMPMEAN,0.5493662505570573,0.5404337279271921
Forecasting Horizon 6,UEMPLT5,0.03612470351608788,0.0377500874152252
Forecasting Horizon 6,UEMP5TO14,0.0534910503824019,0.05305349817353047
Forecasting Horizon 6,UEMP15OV,0.042940739981412866,0.04514801025892838
Forecasting Horizon 6,UEMP15T26,0.061670138499948964,0.06283055549730834
Forecasting Horizon 6,UEMP27OV,0.04146108505383234,0.044659001220558485
Forecasting Horizon 6,CLAIMSx,0.07447530539649314,0.07535230985874437
Forecasting Horizon 6,PAYEMS,0.0036178551378404766,0.0036956209198884906
Forecasting Horizon 6,USGOOD,0.004122048856193214,0.004296343257523507
Forecasting Horizon 6,CES1021000001,0.009948994422208148,0.010581409315012816
Forecasting Horizon 6,USCONS,0.005474054426124048,0.006103641895109359
Forecasting Horizon 6,MANEMP,0.0036537124041194696,0.0036387150022717534
Forecasting Horizon 6,DMANEMP,0.0042690225436304045,0.00427182875031381
Forecasting Horizon 6,NDMANEMP,0.0028905581254766704,0.0028393778127288674
Forecasting Horizon 6,SRVPRD,0.0036874975519921582,0.003750226384029179
Forecasting Horizon 6,USTPU,0.003166866369037551,0.0032241214427834917
Forecasting Horizon 6,USWTRADE,0.002533659034444438,0.0027239173531499543
Forecasting Horizon 6,USTRADE,0.003750432021721652,0.0038281741324649554
Forecasting Horizon 6,USFIRE,0.0017591544068263582,0.0018718971305414448
Forecasting Horizon 6,USGOVT,0.001800045386199758,0.0018842196272272804
Forecasting Horizon 6,CES0600000007,0.5266040314151377,0.540755577595959
Forecasting Horizon 6,AWOTMAN,0.058660774564898564,0.057360740678436974
Forecasting Horizon 6,AWHMAN,0.5735030285858038,0.5745372017973301
Forecasting Horizon 6,HOUST,0.2762299543570255,0.30536216166691843
Forecasting Horizon 6,HOUSTNE,0.33026778047585803,0.3421522147390224
Forecasting Horizon 6,HOUSTMW,0.43864637629279285,0.4917052369985659
Forecasting Horizon 6,HOUSTS,0.258197831213487,0.2774736315562181
Forecasting Horizon 6,HOUSTW,0.35673399452261345,0.38183855682335893
Forecasting Horizon 6,PERMIT,0.25019612817674874,0.2838457297169357
Forecasting Horizon 6,PERMITNE,0.2922296628266149,0.3049782463494592
Forecasting Horizon 6,PERMITMW,0.3180314232655651,0.3984977444025654
Forecasting Horizon 6,PERMITS,0.2224402637183159,0.267315864126989
Forecasting Horizon 6,PERMITW,0.3373241095797025,0.3581747315310405
Forecasting Horizon 6,ACOGNO,0.014658633984270109,0.014332073310979604
Forecasting Horizon 6,AMDMNOx,0.017123007746464147,0.017516568492060302
Forecasting Horizon 6,ANDENOx,0.025194621452500503,0.02597312184397968
Forecasting Horizon 6,AMDMUOx,0.008187872313826457,0.007316106930020452
Forecasting Horizon 6,BUSINVx,0.005267781291070012,0.005032226951745238
Forecasting Horizon 6,ISRATIOx,0.011849824382798491,0.01155307414558692
Forecasting Horizon 6,M1SL,0.1025091960449195,0.10261786506544551
Forecasting Horizon 6,M2SL,0.005209262596719052,0.005285476249891348
Forecasting Horizon 6,M2REAL,0.005609361080640551,0.005672514658758712
Forecasting Horizon 6,BOGMBASE,0.03253582599049884,0.03310153104614283
Forecasting Horizon 6,TOTRESNS,0.08930992773086088,0.09067167284282888
Forecasting Horizon 6,NONBORRES,0.5840696399732777,0.6532997668737653
Forecasting Horizon 6,BUSLOANS,0.011800712758796517,0.011945299765379455
Forecasting Horizon 6,REALLN,0.00657844360929782,0.006560308399358019
Forecasting Horizon 6,NONREVSL,0.008210639624723634,0.008294333056387817
Forecasting Horizon 6,CONSPI,0.0007930692996599034,0.0007973009926773466
Forecasting Horizon 6,S&P 500,0.021222863497489256,0.02644422534513575
Forecasting Horizon 6,S&P: indust,0.01979124179717328,0.024503413362649322
Forecasting Horizon 6,S&P div yield,0.05554229163504705,0.0656634864977103
